MTS793|MPT|ENU|1|0|.|/|:|1|0|0|A

Data Acquisition                                            Time:     10.015625 s         4/13/2017 3:11:26 PM
Time      Ch 1 Force Ch 1 Displacement Ch 1 Laser Ext
s         lbf       in        in
1.4697266 517.9845  0.0082267821 -0.00013684227
1.4794922 520.37921 0.0082963705 -0.00018350143
1.4892578 528.12488 0.0083886087 -2.0449967e-05
1.4990234 537.36896 0.0084647536 -8.4061234e-05
1.5087891 545.04456 0.0086046755 -5.4435306e-05
1.5185547 548.42029 0.0086645782 -0.00018708514
1.5283203 549.14532 0.0087372959 -2.9886311e-05
1.5380859 549.28723 0.0088119507 5.0062914e-05
1.5478516 551.90057 0.0088791549 -9.1328337e-05
1.5576172 549.76416 0.0089210272 -8.0747923e-05
1.5673828 552.74109 0.008982867 -0.0001051431
1.5771484 557.56317 0.0089776516 3.6408575e-05
1.5869141 563.72015 0.0091300905 -9.7225042e-05
1.5966797 566.04846 0.0091566145 -0.00018964951
1.6064453 567.93597 0.0092233717 -6.001462e-05
1.6162109 572.74951 0.0092636049 -8.5579726e-05
1.6259766 577.92291 0.0094172359 -2.3995994e-05
1.6357422 576.97791 0.0094228983 -0.0001675715
1.6455078 578.71851 0.0094440579 -0.00010299353
1.6552734 576.24805 0.009483099 -1.4466809e-05
1.6650391 571.15912 0.0094217062 -8.4453328e-05
1.6748047 573.91913 0.0094600022 -8.1953258e-05
1.6845703 585.16949 0.0095798075 -0.00016304948
1.6943359 593.54156 0.0097000599 3.6671399e-06
1.7041016 595.04999 0.0097343326 -2.1457486e-06
1.7138672 601.72467 0.0097735226 -0.00014285662
1.7236328 604.49567 0.0098325312 -9.3944524e-05
1.7333984 599.84613 0.0098490715 -9.6692835e-05
1.7431641 601.87994 0.0098788738 1.4064311e-05
1.7529297 609.60101 0.0099299848 -0.0001537364
1.7626953 615.26941 0.010035932 -0.00018508294
1.7724609 618.41174 0.010101646 -5.2056723e-05
1.7822266 617.73047 0.010136366 -8.5667525e-05
1.7919922 626.17853 0.010218024 -6.0288068e-05
1.8017578 633.63477 0.0102745 -0.00020341936
1.8115234 635.28302 0.010372549 -3.6340829e-05
1.8212891 645.5506  0.010483563 2.5768893e-05
1.8310547 649.52374 0.010578334 -0.0001230903
1.8408203 651.51062 0.010656267 -8.3757761e-05
1.8505859 648.04132 0.010638237 -0.00011322865
1.8603516 647.8667  0.010715723 2.5018982e-05
1.8701172 651.81061 0.010745823 -0.00010980715
1.8798828 650.79181 0.010752976 -0.00017052694
1.8896484 646.65167 0.010823011 -3.8938808e-05
1.8994141 648.47961 0.010813475 -7.9377656e-05
1.9091797 656.81    0.010910332 -3.2132346e-05
1.9189453 659.42529 0.010959655 -0.0001912947
1.9287109 659.53583 0.011024624 -0.00010498625
1.9384766 663.72736 0.011013895 -4.248443e-06
1.9482422 672.96906 0.011096895 -8.0857521e-05
1.9580078 678.79413 0.011261702 -7.528565e-05
1.9677734 679.40283 0.011262149 -0.0001605375
1.9775391 681.89557 0.011277944 4.7911035e-06
1.9873047 685.6488  0.01138553 -2.9854342e-05
1.9970703 690.31433 0.011424869 -0.00014835423
2.0068359 697.69366 0.011486709 -9.7721466e-05
2.0166016 701.25018 0.011546612 -8.6890774e-05
2.0263672 695.89111 0.011596233 1.1791663e-05
2.0361328 694.69122 0.011626184 -0.00016772556
2.0458984 695.98053 0.011665672 -0.00017048881
2.0556641 699.51593 0.011710674 -1.558132e-05
2.0654297 709.1969  0.011779666 -7.8364581e-05
2.0751953 710.42712 0.011850744 -7.20237e-05
2.0849609 721.7002  0.011985749 -0.00019073287
2.0947266 733.51501 0.01206398 -3.7780181e-05
2.1044922 731.2392  0.012177676 3.1086125e-05
2.1142578 726.39197 0.012116581 -0.00012392789
2.1240234 729.86151 0.012219548 -8.1925791e-05
2.1337891 739.83374 0.012298822 -9.9720666e-05
2.1435547 745.03601 0.012419075 3.9956667e-05
2.1533203 745.3476  0.012453049 -0.00011432334
2.1630859 741.09821 0.012468398 -0.00018459493
2.1728516 740.66876 0.012516677 -5.5011282e-05
2.1826172 747.60779 0.012551546 -8.3658444e-05
2.1923828 756.87976 0.012652278 -3.7461155e-05
2.2021484 761.90265 0.012762994 -0.00019423501
2.2119141 756.00397 0.012729466 -7.6092452e-05
2.2216797 753.01471 0.012774765 4.280927e-06
2.2314453 754.41864 0.01281485 -8.7843924e-05
2.2412109 756.48608 0.012848377 -0.00010243408
2.2509766 757.61053 0.012892038 -0.00013370031
2.2607422 758.75122 0.012913495 3.3942342e-06
2.2705078 769.22491 0.012991726 -2.5213485e-05
2.2802734 775.88007 0.013054758 -0.00015508482
2.2900391 786.80603 0.013144016 -5.5764285e-05
2.2998047 784.50275 0.013246834 -8.0369253e-05
2.3095703 781.42242 0.013268739 1.5663905e-05
2.3193359 792.26392 0.013315827 -0.00015755143
2.3291016 804.38641 0.01348719 -0.0001696675
2.3388672 808.12677 0.013549328 -2.8715027e-05
2.3486328 811.58142 0.013571233 -6.0412589e-05
2.3583984 817.19177 0.013694465 -6.4856627e-05
2.3681641 819.95068 0.013806522 -0.00017743591
2.3779297 819.80188 0.013885796 -1.3141267e-05
2.3876953 820.61365 0.013915598 2.0163283e-05
2.3974609 823.95593 0.013946891 -0.00012365283
2.4072266 825.8916  0.014038384 -7.3443684e-05
2.4169922 825.77411 0.014120638 -0.0001032349
2.4267578 821.32324 0.014070719 2.1001137e-05
2.4365234 818.52899 0.01405865 -0.00010627175
2.4462891 825.19324 0.014108717 -0.00018443307
2.4560547 834.44965 0.014197975 -4.1760075e-05
2.4658203 837.47491 0.014285743 -7.250598e-05
2.4755859 831.56091 0.014261454 -4.7387424e-05
2.4853516 829.07471 0.014301389 -0.00019606798
2.4951172 832.23267 0.014316589 -6.0700939e-05
2.5048828 837.89447 0.014380664 7.0051715e-06
2.5146484 842.65637 0.014459938 -0.0001099315
2.5244141 853.92297 0.014550239 -8.861781e-05
2.5341797 861.98328 0.014660358 -0.00015124802
2.5439453 872.35449 0.014809072 4.1792842e-05
2.5537109 872.1474  0.01478672 -2.9903442e-05
2.5634766 873.69611 0.014858693 -0.00014859052
2.5732422 870.53864 0.014869571 -6.5101602e-05
2.5830078 879.75397 0.014994442 -9.6269716e-05
2.5927734 884.27509 0.015047789 -2.089145e-06
2.6025391 885.15295 0.015114099 -0.00016562804
2.6123047 882.60797 0.015141219 -0.00015767045
2.6220703 889.05634 0.015234798 -1.7662072e-05
2.6318359 899.61206 0.015305579 -9.3648938e-05
2.6416016 905.55701 0.01539886 -7.3755698e-05
2.6513672 908.16156 0.015475154 -0.00018549987
2.6611328 907.22754 0.015498847 -5.277418e-06
2.6708984 909.12909 0.015583485 9.6431077e-06
2.6806641 907.67072 0.015636683 -0.0001125261
2.6904297 905.55963 0.015649199 -7.7045661e-05
2.7001953 903.67053 0.015638322 -8.9979651e-05
2.7099609 901.93298 0.015697032 3.782312e-05
2.7197266 906.0694  0.015724748 -0.00012246511
2.7294922 920.48407 0.015839338 -0.00019628923
2.7392578 926.93683 0.01592353 -3.2728145e-05
2.7490234 930.40894 0.015948117 -7.8957033e-05
2.7587891 927.93762 0.015996546 -5.6172426e-05
2.7685547 925.93591 0.016002506 -0.00019545062
2.7783203 929.57123 0.016025305 -6.4952015e-05
2.7880859 935.75983 0.016123503 2.1426435e-05
2.7978516 945.68115 0.016189963 -9.5959047e-05
2.8076172 951.59039 0.016292334 -9.428418e-05
2.8173828 957.86755 0.016388595 -0.00013059942
2.8271484 962.21643 0.016472042 2.7190797e-05
2.8369141 967.34088 0.016544461 -7.2632734e-05
2.8466797 973.65063 0.016627908 -0.00016851306
